How would you describe your position / role?,What is your official title?,level_qualifier,genericized_title,How many years have you worked in tech?,How many different jobs have you had in the tech industry?,How old are you?,What is your education level?,With what gender do you most identify?,What is your annualized base salary (in USD)?,Primary language / technology stack,Is your domain cloud-based?,Is your job remote-based?,"Is your employer based in a major metropolitan area? (e.g. NYC, Boston, SF, Austin, etc)","What is the value of stock options, bonuses, and RSUs in US Dollars?"
Security Engineer,Security Engineer,,Security Engineer,9,5,25 - 34 years old,None,Male,175000,Ruby,Yes,Yes,Yes,175000
Dotnet programer,Software Developer,,Developer,1,2,18 - 24 years old,Bachelors degree,Female,75000,.NET,Yes,Remote-friendly,No,
Web Developer,Software Developer,,Developer,10,6,25 - 34 years old,Bachelors degree,Male,88400,Javascript / JS frameworks,Yes,No,No,4500
,Senior Software Engineer,Senior,SE,7,4,25 - 34 years old,Bachelors degree,Male,120000,Scala,Yes,Yes,,0
Senior Engineer,Senior Engineer,Senior,SE,8,3,45 - 54 years old,Bachelors degree,Male,69000,PHP,,,No,0
Software Engineer,Principal Software Engineer,Principal,SE,15,5,35 - 44 years old,Masters degree,Male,133000,Java,Yes,Remote-friendly,Yes,0
"Programming up and down the stack, devops, and everything in between to deploy a web product.",Senior Fullstack Engineer,Senior,SE,18,8,35 - 44 years old,Bachelors degree,Male,97000,Javascript / JS frameworks,Yes,Remote-friendly,No,0
API Architect,API Architect,,Architect,20,6,25 - 34 years old,Bachelors degree,Non-binary,120000,Javascript / JS frameworks,Yes,No,No,0
"Test automation, CI/CD, Devops",Senior Software Engineer in Test,Senior,SE,15,6,25 - 34 years old,Associates degree,,130000,Python,Sort-of,Yes,Yes,25000
Lead software developer,Senior Engineer,Senior,SE,4,3,25 - 34 years old,Bachelors degree,Male,94000,Python,Yes,Remote-friendly,No,5000
Software Developer,,,Developer,6,4,25 - 34 years old,High school diploma,Male,80000,.NET,Yes,Remote-friendly,No,6000
Architect/Lead Engineer,Lead Architect,Lead,Architect,8,5,25 - 34 years old,Bachelors degree,Male,150000,Python,Yes,Yes,No,10000
Software Engineer,Senior Software Engineer,Senior,SE,9,7,25 - 34 years old,Bachelors degree,Male,120000,Scala,Yes,No,Yes,0
Software Developer,Software Developer,,Developer,10,5,35 - 44 years old,Masters degree,Male,96000,.NET,Yes,No,No,4000
Engineer at a startup,Lead Software Engineer,Lead,SE,7,5,25 - 34 years old,Bachelors degree,Male,70000,Javascript / JS frameworks,Yes,Remote-friendly,No,
Software Engineer,Senior Software Engineer,Senior,SE,18,9,35 - 44 years old,Associates degree,Male,95000,,No,Remote-friendly,No,4750
Marketing Operations- Support for database system used by marketing team,Associate Client Services Manager,Associate,Manager,0.5,1,18 - 24 years old,Bachelors degree,Female,47000,Javascript / JS frameworks,Sort-of,Remote-friendly,No,
Mid Level Web Developer,Software Developer,,Developer,5,2,25 - 34 years old,High school diploma,Male,52000,Javascript / JS frameworks,Sort-of,Remote-friendly,No,700
Platform Consultant,Senior Consultant,Senior,Consultant,5,4,25 - 34 years old,Bachelors degree,Male,112000,Go,Yes,Yes,No,18000
Lead Software Engineer,Software Engineer,,SE,17,3,35 - 44 years old,Masters degree,Male,200000,Java,Yes,Yes,Yes,100000
Operations/Engineer,Senior Programmer Analyst ,Senior,Analyst,18,7,35 - 44 years old,Masters degree,Male,89000,bash/powershell,Sort-of,No,No,8000
Software Engineer,Software Engineer,,SE,8,3,25 - 34 years old,Bachelors degree,Male,90000,Python,Sort-of,No,No,3500
Software enginnering,Software Engineer,,SE,0.5,1,18 - 24 years old,Associates degree,Non-binary,40000,Javascript / JS frameworks,No,No,No,
Software Engineer,Software Engineer,,SE,1.5,2,18 - 24 years old,Masters degree,Male,62000,Python,Yes,No,No,3000
Senior Engineer,Senior Engineer,Senior,SE,12,5,25 - 34 years old,Bachelors degree,Male,98000,Javascript / JS frameworks,Yes,Remote-friendly,No,16000
software developer,Senior Software Engineer,Senior,SE,15,3,35 - 44 years old,Masters degree,furry,148000,Java,Sort-of,Yes,No,50000
Test Automation,Automation Engineer,,DevOps,18,4,35 - 44 years old,Bachelors degree,Male,112000,Ruby,Yes,Yes,No,
Lead Software Developer,Programmer Analyst,,Analyst,3,3,18 - 24 years old,Bachelors degree,Male,60000,Javascript / JS frameworks,No,Remote-friendly,No,0
Professor,Assistant Professor,,Professor,15,3,35 - 44 years old,PhD,Male,90000,Scala,No,No,No,0
Web Developer,Front End Software Engineer,,SE,3,2,18 - 24 years old,Bachelors degree,Male,72000,Javascript / JS frameworks,Yes,Remote-friendly,No,6000
Software Engineer,Software Engineer,,SE,3.5,2,25 - 34 years old,Bachelors degree,Female,80000,.NET,Sort-of,Remote-friendly,No,
Software Engineer,Software Engineer,,SE,5.5,6,25 - 34 years old,Bachelors degree,Male,95000,Java,Yes,No,No,0
Engineering Manager,Software Development Manager,Manager,Manager,12,4,25 - 34 years old,Masters degree,Male,155000,Java,Yes,No,Yes,15000
Agile Coach,Business Systems Analyst,,Analyst,21,9,35 - 44 years old,Masters degree,Male,128000,PHP,Sort-of,No,No,0
Advocating for developers ,Developer Advocate,,Developer Advocate,10,6,25 - 34 years old,Bachelors degree,Female,130000,"Infrastructure -> e.g. Terraform, Cloud Formation, etc.",Yes,Yes,Yes,
Software Developer,Software Developer,,Developer,15,5,25 - 34 years old,High school diploma,Male,60000,.NET,Sort-of,Remote-friendly,No,0
Software Developer,Software Developer,,Developer,4,3,25 - 34 years old,Bachelors degree,Female,61000,.NET,No,No,No,0
Senior Engineer,Software Engineer,,SE,8,7,25 - 34 years old,Bachelors degree,Male,165000,.NET,Sort-of,Yes,Yes,5000
Software Developer,Senior Scala Engineer,Senior,SE,7,3,25 - 34 years old,PhD,Male,90000,Scala,Sort-of,Yes,No,
Software engineer,Software Engineer,,SE,5,3,45 - 54 years old,Masters degree,Male,82500,.NET,Yes,No,No,0
Team Lead,Principal Software Engineer,Principal,SE,9,3,25 - 34 years old,Bachelors degree,Female,120000,Javascript / JS frameworks,Yes,Remote-friendly,No,18000
User interface and User Experience,User Experience Designer,,Designer,7.5,4,25 - 34 years old,Bachelors degree,Male,96000,HTML/CSS/Vue JS,Yes,Remote-friendly,No,425000
